"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ITE00100550","1813","44.5","11.3458","53.0","BOLOGNA, IT","","","","","102","E","62","E","","","","","","","","","","","","","61.0",",E,0812,","","","","","","","","","","","","","","","","","","","","","","","","","","","620.6",",E","","","","","",""
"ITE00100550","1814","44.5","11.3458","53.0","BOLOGNA, IT","489.6","","489.6","E","101","E","55","E","0","E","46","E","4","E","107","E","2","E","-7.5","E,0223,","63.0",",E,1028,","33.8","E,0805,","-0.4","E,1209","","","","","","","","","-0.1","E,0301","-4.1","E,0225","-6.1","E,0224","-7.5","E,0223","","","","","","","645.6",",E","13.00","E","15.40","E","10.59","E"
"ITE00100550","1815","44.5","11.3458","53.0","BOLOGNA, IT","531.2","","531.2","E","105","E","58","E","0","E","37","E","10","E","142","E","0","E","-6.3","E,1216,+","66.0",",E,0611,","32.1","E,0717,","-0.6","E,1128","-2.5","E,1213","-5.3","E,1215","","","","","-0.9","E,0208","-2.5","E,0125","-5.4","E,0124","","","","","2150.5","","2150.5","E","741.9",",E","13.65","E","16.05","E","11.26","E"
"ITE00100550","1816","44.5","11.3458","53.0","BOLOGNA, IT","475.7","","475.7","E","106","E","47","E","0","E","66","E","3","E","142","E","1","E","-6.9","E,1210,","42.5",",E,1220,","32.3","E,0807,","0.0","E,1119","-2.5","E,1120","-6.9","E,1210","-6.9","E,1210","","","-0.3","E,0330","-2.5","E,0220","-6.0","E,0216","","","","","2450.1","","2450.1","E","548.8",",E","12.84","E","15.95","E","9.73","E"
"ITE00100550","1817","44.5","11.3458","53.0","BOLOGNA, IT","778.3","","778.3","E","71","E","39","E","0","E","16","E","0","E","146","E","10","E","-4.1","E,1229,","46.0",",E,0617,","36.3","E,0713,","0.0","E,1214","-4.1","E,1229","","","","","","","-2.5","E,0117","-2.5","E,0117","","","","","","","2267.4","","2267.4","E","479.6",",E","14.16","E","17.51","E","10.80","E"
"ITE00100550","1818","44.5","11.3458","53.0","BOLOGNA, IT","695.8","","695.8","E","84","E","48","E","0","E","31","E","0","E","152","E","4","E","-4.3","E,1229,","64.2",",E,0601,","33.8","E,0811,","-0.4","E,1204","-2.5","E,1223","","","","","","","-0.3","E,0214","-3.5","E,0110","","","","","","","2112.7","","2112.7","E","541.5",",E","14.49","E","17.42","E","11.56","E"
"ITE00100550","1819","44.5","11.3458","53.0","BOLOGNA, IT","743.0","","743.0","E","85","E","49","E","0","E","33","E","2","E","153","E","6","E","-6.3","E,0109,","97.0",",E,0907,","37.3","E,0710,","0.0","E,1126","-2.9","E,1230","","","","","","","0.0","E,0206","-2.3","E,0121","-6.3","E,0109","","","","","2121.4","","2121.4","E","691.2",",E","14.73","E","17.63","E","11.83","E"
"ITE00100550","1820","44.5","11.3458","53.0","BOLOGNA, IT","922.9","","922.9","E","85","E","51","E","0","E","41","E","10","E","147","E","24","E","-10.9","E,0113,","37.0",",E,0907,","35.8","E,0720,","0.0","E,1130","-4.0","E,1202","","","","","","","0.0","E,0217","-5.0","E,0116","-5.0","E,0116","-7.5","E,0115","-9.1","E,0114","2165.5","","2165.5","E","522.9",",E","14.62","E","17.60","E","11.64","E"
"ITE00100550","1821","44.5","11.3458","53.0","BOLOGNA, IT","730.8","","730.8","E","60","E","33","E","0","E","38","E","0","E","158","E","3","E","-4.6","E,1216,","37.5",",E,1228,+","32.5","E,0805,+","-2.5","E,1214","-2.5","E,1214","-4.6","E,1216","","","","","-2.1","E,0307","-3.1","E,0208","","","","","","","2208.6","","2208.6","E","464.2",",E","14.50","E","17.50","E","11.50","E"
"ITE00100550","1822","44.5","11.3458","53.0","BOLOGNA, IT","921.1","","921.1","E","59","E","36","E","0","E","23","E","6","E","162","E","23","E","-5.6","E,1231,","39.0",",E,0709,","36.3","E,0616,","-0.9","E,1214","-3.1","E,1219","-4.8","E,1228","","","","","-0.4","E,0129","","","","","","","","","1910.6","","1910.6","E","376.0",",E","15.55","E","18.76","E","12.35","E"
